elapsed_ms	dataset_ms	plan_ms	query_pipeline_ms	outcome	plan_lines	sql_bytes	case	query	source_log
4646			4642	execution_error	47	34857	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_complex/0004_IC6_8223fa70684d.case	"MATCH (knownTag:Tag { name: ""Carl_Gustaf_Emil_Mannerheim"" }) WITH knownTag.id as knownTagId MATCH (person:Person { id: 28587302322524 })-[:knows*1..2]-(friend) WHERE NOT person.id=friend.id WITH knownTagId, collect(distinct friend.id) as friends UNWIND friends as f MATCH (:Person {id: f})<-[:Post_hasCreator]-(post:Post), (post)-[:Post_hasTag]->(t:Tag{id: knownTagId}), (post)-[:Post_hasTag]->(tag:Tag) WHERE NOT t.id = tag.id WITH tag.name as tagName, count(post) as postCount RETURN tagName, postCount ORDER BY postCount DESC, tagName ASC LIMIT 10"	/tmp/graph-conformance-after.log
3971			3966	matched	22	10017	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0007_IS7_9c24c20cf2e3.case	MATCH (m:Post:Comment {id: 962072971887})<-[:replyOf_Comment|:replyOf_Post]-(c:Comment)-[:Comment_hasCreator]->(p:Person) OPTIONAL MATCH (m)-[:Comment_hasCreator|:Post_hasCreator]->(a:Person)-[r:knows]-(p) RETURN c.id AS commentId, c.content AS commentContent, c.creationDate AS commentCreationDate, p.id AS replyAuthorId, p.firstName AS replyAuthorFirstName, p.lastName AS replyAuthorLastName, CASE WHEN ID(r) IS NULL THEN False ELSE True END AS replyAuthorKnowsOriginalMessageAuthor	/tmp/graph-conformance-after.log
3215			3206	matched	11	781	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0005_IS5_8541c7c0365f.case	MATCH (m:Post:Comment {id: 1030792151050})-[:Post_hasCreator|:Comment_hasCreator]->(p:Person) RETURN p.id AS personId, p.firstName AS firstName, p.lastName AS lastName	/tmp/graph-conformance-after.log
2685			2681	matched	11	781	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0005_IS5_a49f4b58dcbd.case	MATCH (m:Post:Comment {id: 1030792151050})-[:Post_hasCreator|:Comment_hasCreator]->(p:Person) RETURN p.id AS personId, p.firstName AS firstName, p.lastName AS lastName	/tmp/graph-conformance-after.log
2597			2571	matched	10	231	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0004_IS4_a22e3a37f2b5.case	MATCH (m:Post:Comment {id: 481036337190}) RETURN m.creationDate as messageCreationDate, CASE WHEN m.content is NULL THEN m.imageFile ELSE m.content END AS messageContent	/tmp/graph-conformance-after.log
2485	2463			lower_error	10	0	cases/cypher/ladybug/ddl/sequence/0066_AddPropertySequence_ad101a98f0bf.case	MATCH (c:Comment) RETURN SUM(c.propx)	/tmp/graph-conformance-after.log
2207	712		1486	matched	11	137	cases/cypher/ladybug/nested_types/large_array/0001_CopyLargeArray_b84a3de231c6.case	MATCH (u:person) RETURN u.ID, u.embedding ORDER BY u.ID DESC LIMIT 5	/tmp/graph-conformance-after.log
2126			2028	matched	10	231	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0004_IS4_3a006f2efdc3.case	MATCH (m:Post:Comment {id: 481036337190}) RETURN m.creationDate as messageCreationDate, CASE WHEN m.content is NULL THEN m.imageFile ELSE m.content END AS messageContent	/tmp/graph-conformance-after.log
2109	2103			matched	10	230	cases/cypher/ladybug/copy/copy_snap_twitter_parquet/0001_CopySNAPTwitterParquet_9c5eb09d9c5e.case	MATCH (a:account) RETURN COUNT(*)	/tmp/graph-conformance-after.log
1675			1674	execution_error	30	9271	cases/cypher/ladybug/lsqb/lsqb_queries/0007_q7_e2077f0cf712.case	MATCH (:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)-[:Post_hasCreator_Person|:Comment_hasCreator_Person]->(creator:Person) OPTIONAL MATCH (message)<-[:Person_likes_Comment|:Person_likes_Post]-(liker:Person) OPTIONAL MATCH (message)<-[:Comment_replyOf_Comment|:Comment_replyOf_Post]-(comment:Comment) RETURN count(*) AS count	/tmp/graph-conformance-after.log
1468			1467	matched	17	5721	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0001_q1_74a83b85113a.case	MATCH (:Country)<-[:City_isPartOf_Country]-(:City)<-[:Person_isLocatedIn_City]-(:Person)<-[:Forum_hasMember_Person]-(:Forum)-[:Forum_containerOf_Post]->(:Post)<-[Comment_replyOf_Post]-(:Comment)-[:Comment_hasTag_Tag]->(:Tag)-[:Tag_hasType_TagClass]->(:TagClass) RETURN count(*) as count	/tmp/graph-conformance-after.log
1444			1441	execution_error	30	9271	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0007_q7_477e7f716a1d.case	MATCH (:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)-[:Post_hasCreator_Person|:Comment_hasCreator_Person]->(creator:Person) OPTIONAL MATCH (message)<-[:Person_likes_Comment|:Person_likes_Post]-(liker:Person) OPTIONAL MATCH (message)<-[:Comment_replyOf_Comment|:Comment_replyOf_Post]-(comment:Comment) RETURN count(*) AS count	/tmp/graph-conformance-after.log
1401	1138		258	matched	10	230	cases/cypher/ladybug/copy/copy_snap_amazon0601_csv/0001_CopySNAPAmazon0601CSV_be4df3a9c0fe.case	MATCH (a:account) RETURN COUNT(*)	/tmp/graph-conformance-after.log
1358			1358	lower_error	10	0	cases/cypher/ladybug/nested_types/large_array/0002_CopyLargeArray_580bc8afb2ad.case	MATCH (u:person) RETURN COUNT(*), SUM(list_sum(u.embedding))	/tmp/graph-conformance-after.log
1272			1233	matched	12	782	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0003_IS3_558119ca740c.case	MATCH (n:Person {id: 1129})-[r:knows]-(friend) RETURN friend.id AS personId, friend.firstName AS firstName, friend.lastName AS lastName, r.creationDate AS friendshipCreationDate ORDER BY friendshipCreationDate DESC, personId ASC	/tmp/graph-conformance-after.log
1260			1242	matched	18	3183	cases/cypher/ladybug/lsqb/lsqb_queries/0002_q2_4d5e72954418.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person), (person1)<-[:Comment_hasCreator_Person]-(comment:Comment)-[:Comment_replyOf_Post]->(Post:Post)-[:Post_hasCreator_Person]->(person2) RETURN count(*) AS count	/tmp/graph-conformance-after.log
1234	1190			mismatch	12	636	cases/cypher/ladybug/agg/hash_large/0001_AggHash_057ad68ab051.case	MATCH (a:account)-[]->(b:account) WHERE a.ID = 18776017 RETURN COUNT(b)	/tmp/graph-conformance-after.log
1170	435		733	mismatch	11	999	cases/cypher/ladybug/copy/copy_node_csv/0001_SubsetTest_27799e9e4f31.case	MATCH (row:tableOfTypes) WHERE row.id >= 20 AND row.id <= 24 RETURN row.*	/tmp/graph-conformance-after.log
1148			1146	matched	15	2924	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_complex/0001_IC2_d96dfb906393.case	MATCH (:Person {id: 32985348834100 })-[:knows]-(friend:Person)<-[:Post_hasCreator|:Comment_hasCreator]-(message:Comment:Post) WHERE message.creationDate < 20120710024241920 RETURN friend.id AS personId, friend.firstName AS personFirstName, friend.lastName AS personLastName, message.id AS postOrCommentId, CASE WHEN message.content is NULL THEN message.imageFile ELSE message.content END AS postOrCommentContent, message.creationDate AS postOrCommentCreationDate ORDER BY postOrCommentCreationDate DESC, postOrCommentId ASC LIMIT 20	/tmp/graph-conformance-after.log
1087			1077	execution_error	47	12752	cases/cypher/ladybug/lsqb/lsqb_queries/0003_q3_73da6e33f333.case	MATCH (country:Country) MATCH (person1:Person)-[:Person_isLocatedIn_City]->(city1:City)-[:City_isPartOf_Country]->(country) MATCH (person2:Person)-[:Person_isLocatedIn_City]->(city2:City)-[:City_isPartOf_Country]->(country) MATCH (person3:Person)-[:Person_isLocatedIn_City]->(city3:City)-[:City_isPartOf_Country]->(country) MATCH (person1)-[:Person_knows_Person]-(person2)-[:Person_knows_Person]-(person3)-[:Person_knows_Person]-(person1) RETURN count(*) AS count	/tmp/graph-conformance-after.log
1048			1047	execution_error	14	3029	cases/cypher/ladybug/lsqb/lsqb_queries/0006_q6_baf3af3e3900.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person)-[:Person_knows_Person]-(person3:Person)-[:Person_hasInterest_Tag]->(tag:Tag) WHERE id(person1) <> id(person3) RETURN count(*) AS count	/tmp/graph-conformance-after.log
1033			1032	execution_error	23	9694	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0009_q9_a607c4817556.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person)-[:Person_knows_Person]-(person3:Person)-[:Person_hasInterest_Tag]->(tag:Tag) WHERE NOT EXISTS {MATCH (person1)-[:Person_knows_Person]-(person3)} AND id(person1) <> id(person3) RETURN count(*) AS count	/tmp/graph-conformance-after.log
1028			1027	execution_error	23	9694	cases/cypher/ladybug/lsqb/lsqb_queries/0009_q9_9c42e48fcfeb.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person)-[:Person_knows_Person]-(person3:Person)-[:Person_hasInterest_Tag]->(tag:Tag) WHERE NOT EXISTS {MATCH (person1)-[:Person_knows_Person]-(person3)} AND id(person1) <> id(person3) RETURN count(*) AS count	/tmp/graph-conformance-after.log
1022			1022	execution_error	14	3029	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0006_q6_c72fe74f392e.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person)-[:Person_knows_Person]-(person3:Person)-[:Person_hasInterest_Tag]->(tag:Tag) WHERE id(person1) <> id(person3) RETURN count(*) AS count	/tmp/graph-conformance-after.log
1021			1020	execution_error	47	12752	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0003_q3_3038ce765d52.case	MATCH (country:Country) MATCH (person1:Person)-[:Person_isLocatedIn_City]->(city1:City)-[:City_isPartOf_Country]->(country) MATCH (person2:Person)-[:Person_isLocatedIn_City]->(city2:City)-[:City_isPartOf_Country]->(country) MATCH (person3:Person)-[:Person_isLocatedIn_City]->(city3:City)-[:City_isPartOf_Country]->(country) MATCH (person1)-[:Person_knows_Person]-(person2)-[:Person_knows_Person]-(person3)-[:Person_knows_Person]-(person1) RETURN count(*) AS count	/tmp/graph-conformance-after.log
964			948	matched	12	782	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0003_IS3_f443f4a4759f.case	MATCH (n:Person {id: 1129})-[r:knows]-(friend) RETURN friend.id AS personId, friend.firstName AS firstName, friend.lastName AS lastName, r.creationDate AS friendshipCreationDate ORDER BY friendshipCreationDate DESC, personId ASC	/tmp/graph-conformance-after.log
874			872	matched	22	3604	cases/cypher/ladybug/lsqb/lsqb_queries/0004_q4_982eeb3de83d.case	MATCH (:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)-[:Post_hasCreator_Person|:Comment_hasCreator_Person]->(creator:Person), (message)<-[:Person_likes_Comment|:Person_likes_Post]-(liker:Person), (message)<-[:Comment_replyOf_Comment|:Comment_replyOf_Post]-(comment:Comment) RETURN count(*) AS count	/tmp/graph-conformance-after.log
706			704	matched	23	7771	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0008_q8_694e2068ae06.case	MATCH (tag1:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)<-[:Comment_replyOf_Post|:Comment_replyOf_Comment]-(comment:Comment)-[:Comment_hasTag_Tag]->(tag2:Tag) WHERE NOT EXISTS {MATCH (comment)-[:Comment_hasTag_Tag]->(tag1)} AND id(tag1) <> id(tag2) RETURN count(*) AS count	/tmp/graph-conformance-after.log
537			536	matched	22	3604	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0004_q4_239ac9101da7.case	MATCH (:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)-[:Post_hasCreator_Person|:Comment_hasCreator_Person]->(creator:Person), (message)<-[:Person_likes_Comment|:Person_likes_Post]-(liker:Person), (message)<-[:Comment_replyOf_Comment|:Comment_replyOf_Post]-(comment:Comment) RETURN count(*) AS count	/tmp/graph-conformance-after.log
521			520	matched	18	3183	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0002_q2_2c8546832db5.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person), (person1)<-[:Comment_hasCreator_Person]-(comment:Comment)-[:Comment_replyOf_Post]->(Post:Post)-[:Post_hasCreator_Person]->(person2) RETURN count(*) AS count	/tmp/graph-conformance-after.log
