elapsed_ms	dataset_ms	plan_ms	query_pipeline_ms	outcome	plan_lines	sql_bytes	case	query	source_log
1718	546		1045	execution_error	47	12752	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0003_q3_3038ce765d52.case	MATCH (country:Country) MATCH (person1:Person)-[:Person_isLocatedIn_City]->(city1:City)-[:City_isPartOf_Country]->(country) MATCH (person2:Person)-[:Person_isLocatedIn_City]->(city2:City)-[:City_isPartOf_Country]->(country) MATCH (person3:Person)-[:Person_isLocatedIn_City]->(city3:City)-[:City_isPartOf_Country]->(country) MATCH (person1)-[:Person_knows_Person]-(person2)-[:Person_knows_Person]-(person3)-[:Person_knows_Person]-(person1) RETURN count(*) AS count	/tmp/graph-conformance-before.log
1699	495		1029	execution_error	14	3029	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0006_q6_c72fe74f392e.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person)-[:Person_knows_Person]-(person3:Person)-[:Person_hasInterest_Tag]->(tag:Tag) WHERE id(person1) <> id(person3) RETURN count(*) AS count	/tmp/graph-conformance-before.log
1581	434		1028	execution_error	23	9694	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0009_q9_a607c4817556.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person)-[:Person_knows_Person]-(person3:Person)-[:Person_hasInterest_Tag]->(tag:Tag) WHERE NOT EXISTS {MATCH (person1)-[:Person_knows_Person]-(person3)} AND id(person1) <> id(person3) RETURN count(*) AS count	/tmp/graph-conformance-before.log
1545	403		1024	execution_error	14	3029	cases/cypher/ladybug/lsqb/lsqb_queries/0006_q6_baf3af3e3900.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person)-[:Person_knows_Person]-(person3:Person)-[:Person_hasInterest_Tag]->(tag:Tag) WHERE id(person1) <> id(person3) RETURN count(*) AS count	/tmp/graph-conformance-before.log
1545	397		1027	execution_error	23	9694	cases/cypher/ladybug/lsqb/lsqb_queries/0009_q9_9c42e48fcfeb.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person)-[:Person_knows_Person]-(person3:Person)-[:Person_hasInterest_Tag]->(tag:Tag) WHERE NOT EXISTS {MATCH (person1)-[:Person_knows_Person]-(person3)} AND id(person1) <> id(person3) RETURN count(*) AS count	/tmp/graph-conformance-before.log
1540	407		1016	execution_error	47	12752	cases/cypher/ladybug/lsqb/lsqb_queries/0003_q3_73da6e33f333.case	MATCH (country:Country) MATCH (person1:Person)-[:Person_isLocatedIn_City]->(city1:City)-[:City_isPartOf_Country]->(country) MATCH (person2:Person)-[:Person_isLocatedIn_City]->(city2:City)-[:City_isPartOf_Country]->(country) MATCH (person3:Person)-[:Person_isLocatedIn_City]->(city3:City)-[:City_isPartOf_Country]->(country) MATCH (person1)-[:Person_knows_Person]-(person2)-[:Person_knows_Person]-(person3)-[:Person_knows_Person]-(person1) RETURN count(*) AS count	/tmp/graph-conformance-before.log
1146	532		464	matched	14	2264	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0005_q5_0e6491656b5e.case	MATCH (tag1:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Comment:Post)<-[:Comment_replyOf_Post|:Comment_replyOf_Comment]-(comment:Comment)-[:Comment_hasTag_Tag]->(tag2:Tag) WHERE id(tag1) <> id(tag2) RETURN count(*) AS count	/tmp/graph-conformance-before.log
1054	393		660	matched	11	137	cases/cypher/ladybug/nested_types/large_array/0001_CopyLargeArray_b84a3de231c6.case	MATCH (u:person) RETURN u.ID, u.embedding ORDER BY u.ID DESC LIMIT 5	/tmp/graph-conformance-before.log
1051	423		511	matched	18	3183	cases/cypher/ladybug/lsqb/lsqb_queries/0002_q2_4d5e72954418.case	MATCH (person1:Person)-[:Person_knows_Person]-(person2:Person), (person1)<-[:Comment_hasCreator_Person]-(comment:Comment)-[:Comment_replyOf_Post]->(Post:Post)-[:Post_hasCreator_Person]->(person2) RETURN count(*) AS count	/tmp/graph-conformance-before.log
1050	286		678	matched	25	35917	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0002_IS2_3bc9115b5c08.case	MATCH (:Person {id: 21990232555803})<-[:Post_hasCreator|:Comment_hasCreator]-(message) WITH message,message.id AS messageId, message.creationDate AS messageCreationDate ORDER BY messageCreationDate DESC, messageId ASC LIMIT 10 MATCH (message)-[:replyOf_Post|:replyOf_Comment*1..2]->(post:Post), (post)-[:Post_hasCreator]->(person) RETURN messageId, CASE WHEN message.imageFile is NULL THEN message.content ELSE message.imageFile END AS messageContent, messageCreationDate, post.id AS postId, person.id AS personId, person.firstName AS personFirstName, person.lastName AS personLastName ORDER BY messageCreationDate DESC, messageId ASC	/tmp/graph-conformance-before.log
1036	411		508	matched	22	3604	cases/cypher/ladybug/lsqb/lsqb_queries/0004_q4_982eeb3de83d.case	MATCH (:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)-[:Post_hasCreator_Person|:Comment_hasCreator_Person]->(creator:Person), (message)<-[:Person_likes_Comment|:Person_likes_Post]-(liker:Person), (message)<-[:Comment_replyOf_Comment|:Comment_replyOf_Post]-(comment:Comment) RETURN count(*) AS count	/tmp/graph-conformance-before.log
989	638		190	mismatch	10	101	cases/cypher/ladybug/transaction/copy/copy_node/0004_CopyNodeAfterPKErrorRollbackFlushedGroups_7edf27cf2923.case	MATCH (c:Comment) WHERE c.ID = 962073046352 RETURN c.locationIP	/tmp/graph-conformance-before.log
985	425		437	matched	23	7771	cases/cypher/ladybug/lsqb/lsqb_queries_parquet/0008_q8_694e2068ae06.case	MATCH (tag1:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)<-[:Comment_replyOf_Post|:Comment_replyOf_Comment]-(comment:Comment)-[:Comment_hasTag_Tag]->(tag2:Tag) WHERE NOT EXISTS {MATCH (comment)-[:Comment_hasTag_Tag]->(tag1)} AND id(tag1) <> id(tag2) RETURN count(*) AS count	/tmp/graph-conformance-before.log
926	277		564	matched	25	35917	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0002_IS2_c4c9165f12b5.case	MATCH (:Person {id: 21990232555803})<-[:Post_hasCreator|:Comment_hasCreator]-(message) WITH message,message.id AS messageId, message.creationDate AS messageCreationDate ORDER BY messageCreationDate DESC, messageId ASC LIMIT 10 MATCH (message)-[:replyOf_Post|:replyOf_Comment*1..2]->(post:Post), (post)-[:Post_hasCreator]->(person) RETURN messageId, CASE WHEN message.imageFile is NULL THEN message.content ELSE message.imageFile END AS messageContent, messageCreationDate, post.id AS postId, person.id AS personId, person.firstName AS personFirstName, person.lastName AS personLastName ORDER BY messageCreationDate DESC, messageId ASC	/tmp/graph-conformance-before.log
919	402		399	matched	23	7771	cases/cypher/ladybug/lsqb/lsqb_queries/0008_q8_0b227b7adec9.case	MATCH (tag1:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Post:Comment)<-[:Comment_replyOf_Post|:Comment_replyOf_Comment]-(comment:Comment)-[:Comment_hasTag_Tag]->(tag2:Tag) WHERE NOT EXISTS {MATCH (comment)-[:Comment_hasTag_Tag]->(tag1)} AND id(tag1) <> id(tag2) RETURN count(*) AS count	/tmp/graph-conformance-before.log
897	283		527	matched	15	3525	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_complex/0005_IC8_cb7a36eddf28.case	MATCH (start:Person {id: 15393162789560})<-[:Post_hasCreator|:Comment_hasCreator]-(:Post:Comment)<-[:replyOf_Comment|:replyOf_Post]-(comment:Comment)-[:Comment_hasCreator]->(person:Person) RETURN person.id AS personId, person.firstName AS personFirstName, person.lastName AS personLastName, comment.creationDate AS commentCreationDate, comment.id AS commentId, comment.content AS commentContent ORDER BY commentCreationDate DESC, commentId ASC LIMIT 20	/tmp/graph-conformance-before.log
841	285		470	matched	13	20487	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0006_IS6_700062efc365.case	MATCH (m:Comment {id: 962072675825 })-[:replyOf_Post|:replyOf_Comment*1..2]->(p:Post)<-[:containerOf]-(f:Forum)-[:hasModerator]->(mod:Person) RETURN f.id AS forumId,f.title AS forumTitle,mod.id AS moderatorId,mod.firstName AS moderatorFirstName, mod.lastName AS moderatorLastName	/tmp/graph-conformance-before.log
839	660		178	matched	10	230	cases/cypher/ladybug/copy/copy_snap_amazon0601_csv/0001_CopySNAPAmazon0601CSV_be4df3a9c0fe.case	MATCH (a:account) RETURN COUNT(*)	/tmp/graph-conformance-before.log
837	280		472	matched	13	20487	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0006_IS6_3cdefb385f44.case	MATCH (m:Comment {id: 962072675825 })-[:replyOf_Post|:replyOf_Comment*1..2]->(p:Post)<-[:containerOf]-(f:Forum)-[:hasModerator]->(mod:Person) RETURN f.id AS forumId,f.title AS forumTitle,mod.id AS moderatorId,mod.firstName AS moderatorFirstName, mod.lastName AS moderatorLastName	/tmp/graph-conformance-before.log
816	276		454	execution_error	47	34857	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_complex/0004_IC6_8223fa70684d.case	"MATCH (knownTag:Tag { name: ""Carl_Gustaf_Emil_Mannerheim"" }) WITH knownTag.id as knownTagId MATCH (person:Person { id: 28587302322524 })-[:knows*1..2]-(friend) WHERE NOT person.id=friend.id WITH knownTagId, collect(distinct friend.id) as friends UNWIND friends as f MATCH (:Person {id: f})<-[:Post_hasCreator]-(post:Post), (post)-[:Post_hasTag]->(t:Tag{id: knownTagId}), (post)-[:Post_hasTag]->(tag:Tag) WHERE NOT t.id = tag.id WITH tag.name as tagName, count(post) as postCount RETURN tagName, postCount ORDER BY postCount DESC, tagName ASC LIMIT 10"	/tmp/graph-conformance-before.log
816	398		255	mismatch	10	605	cases/cypher/ladybug/transaction/create_rel/create_rel/0005_CopyRelEmptyNodeGroupsReloadDB_49123405278d.case	MATCH (a:Comment)-[:replyOf_Comment]->(b:Comment) RETURN a.id, b.id	/tmp/graph-conformance-before.log
798	403		273	matched	14	2264	cases/cypher/ladybug/lsqb/lsqb_queries/0005_q5_62919ca1041c.case	MATCH (tag1:Tag)<-[:Post_hasTag_Tag|:Comment_hasTag_Tag]-(message:Comment:Post)<-[:Comment_replyOf_Post|:Comment_replyOf_Comment]-(comment:Comment)-[:Comment_hasTag_Tag]->(tag2:Tag) WHERE id(tag1) <> id(tag2) RETURN count(*) AS count	/tmp/graph-conformance-before.log
752	524			matched	10	147	cases/cypher/ladybug/filter/cast/0003_ZoneMapCastedColumn_92d8103a3fc9.case	match (c:Comment) where c.id = 687194777181 return c.browserUsed, c.content	/tmp/graph-conformance-before.log
747	278		383	matched	22	10017	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0007_IS7_9c24c20cf2e3.case	MATCH (m:Post:Comment {id: 962072971887})<-[:replyOf_Comment|:replyOf_Post]-(c:Comment)-[:Comment_hasCreator]->(p:Person) OPTIONAL MATCH (m)-[:Comment_hasCreator|:Post_hasCreator]->(a:Person)-[r:knows]-(p) RETURN c.id AS commentId, c.content AS commentContent, c.creationDate AS commentCreationDate, p.id AS replyAuthorId, p.firstName AS replyAuthorFirstName, p.lastName AS replyAuthorLastName, CASE WHEN ID(r) IS NULL THEN False ELSE True END AS replyAuthorKnowsOriginalMessageAuthor	/tmp/graph-conformance-before.log
743	283		375	matched	22	10017	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0007_IS7_5004fc4c497c.case	MATCH (m:Post:Comment {id: 962072971887})<-[:replyOf_Comment|:replyOf_Post]-(c:Comment)-[:Comment_hasCreator]->(p:Person) OPTIONAL MATCH (m)-[:Comment_hasCreator|:Post_hasCreator]->(a:Person)-[r:knows]-(p) RETURN c.id AS commentId, c.content AS commentContent, c.creationDate AS commentCreationDate, p.id AS replyAuthorId, p.firstName AS replyAuthorFirstName, p.lastName AS replyAuthorLastName, CASE WHEN ID(r) IS NULL THEN False ELSE True END AS replyAuthorKnowsOriginalMessageAuthor	/tmp/graph-conformance-before.log
646			645	lower_error	10	0	cases/cypher/ladybug/nested_types/large_array/0002_CopyLargeArray_580bc8afb2ad.case	MATCH (u:person) RETURN COUNT(*), SUM(list_sum(u.embedding))	/tmp/graph-conformance-before.log
642	277		282	matched	15	2924	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_complex/0001_IC2_d96dfb906393.case	MATCH (:Person {id: 32985348834100 })-[:knows]-(friend:Person)<-[:Post_hasCreator|:Comment_hasCreator]-(message:Comment:Post) WHERE message.creationDate < 20120710024241920 RETURN friend.id AS personId, friend.firstName AS personFirstName, friend.lastName AS personLastName, message.id AS postOrCommentId, CASE WHEN message.content is NULL THEN message.imageFile ELSE message.content END AS postOrCommentContent, message.creationDate AS postOrCommentCreationDate ORDER BY postOrCommentCreationDate DESC, postOrCommentId ASC LIMIT 20	/tmp/graph-conformance-before.log
632	286		259	mismatch	26	26760	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_complex/0006_IC11_4f8bd60e77c6.case	"MATCH (person:Person {id: 13194139534668 })-[:knows*1..2]-(friend:Person) WHERE NOT person.id=friend.id WITH DISTINCT friend MATCH (friend)-[workAt:workAt]->(company:Organisation {label: ""Company""})-[:Organisation_isLocatedIn]->(:Place {name: ""Hungary"", label: ""Country"" }) WHERE workAt.workFrom < 2011 RETURN friend.id AS personId, friend.firstName AS personFirstName, friend.lastName AS personLastName, company.name AS organizationName, workAt.workFrom AS organizationWorkFromYear ORDER BY organizationWorkFromYear ASC, personId ASC, organizationName DESC LIMIT 10"	/tmp/graph-conformance-before.log
563	397			matched	12	513	cases/cypher/ladybug/issue/issue5/0001_3188_201983b29a85.case	MATCH (a:Comment) RETURN a.id ORDER BY a.length, a.browserUsed, a.locationIP, a.creationDate, a.content, a.id limit 5	/tmp/graph-conformance-before.log
561	438			lower_error	23	0	cases/cypher/ladybug/agg/hash_ldbc/0002_TestAggregateListsWithNulls_1a276a19a470.case	MATCH (p:Post) OPTIONAL MATCH (c:Comment)-[]->(p:Post) RETURN p.browserUsed, list_sort(COLLECT(DISTINCT c.browserUsed), 'ASC')	/tmp/graph-conformance-before.log
559	364			mismatch	12	343	cases/cypher/ladybug/dml_rel/create/create_ldbc_sf01/0002_CreateLikeComment_485e5ff26b42.case	MATCH (n:Person)-[r:likes_Comment]->(m:Comment) WHERE n.id=24189255812290 AND m.id=412317157805 RETURN r.creationDate	/tmp/graph-conformance-before.log
554	436			mismatch	10	256	cases/cypher/ladybug/dml_rel/create/create_small/0058_EntriesCheckpointed_38863bd58302.case	MATCH (n:N1)-[r:Rel1]->(m:N2) RETURN n.ID, m.ID	/tmp/graph-conformance-before.log
550	286		179	matched	11	781	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0005_IS5_8541c7c0365f.case	MATCH (m:Post:Comment {id: 1030792151050})-[:Post_hasCreator|:Comment_hasCreator]->(p:Person) RETURN p.id AS personId, p.firstName AS firstName, p.lastName AS lastName	/tmp/graph-conformance-before.log
547	284		179	matched	11	781	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0005_IS5_a49f4b58dcbd.case	MATCH (m:Post:Comment {id: 1030792151050})-[:Post_hasCreator|:Comment_hasCreator]->(p:Person) RETURN p.id AS personId, p.firstName AS firstName, p.lastName AS lastName	/tmp/graph-conformance-before.log
539	290		164	matched	10	231	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short_parquet/0004_IS4_a22e3a37f2b5.case	MATCH (m:Post:Comment {id: 481036337190}) RETURN m.creationDate as messageCreationDate, CASE WHEN m.content is NULL THEN m.imageFile ELSE m.content END AS messageContent	/tmp/graph-conformance-before.log
531	286		161	matched	10	231	cases/cypher/ladybug/ldbc/ldbc_interactive/interactive_short/0004_IS4_3a006f2efdc3.case	MATCH (m:Post:Comment {id: 481036337190}) RETURN m.creationDate as messageCreationDate, CASE WHEN m.content is NULL THEN m.imageFile ELSE m.content END AS messageContent	/tmp/graph-conformance-before.log
